100;LD1M / 00029393 / 4;178/1;0,0809 HA;
101;LD1M / 00030066 / 3;4/3;0,0584 HA;
102;LD1M / 00030067 / 0;4/2;0,0616 HA;
103;LD1M / 00030385 / 5;351/2;0,0948 HA;
104;LD1M / 00030852 / 0;216/6;0,2607 HA;
105;LD1M / 00032602 / 7;268/12269/2;0,1778;
106;LD1M / 00032946 / 0;7;0,1494 HA;
107;LD1M / 00033368 / 1;268/5;0,1002 HA;
108;LD1M / 00033369 / 8;268/6;0,1008;
109;LD1M / 00033774 / 0;247/2;0,1000 HA;
110;LD1M / 00033778 / 8;268/3;0,0798 HA;
111;LD1M / 00033977 / 3;366/1;0,0650 HA;
112;LD1M / 00034019 / 7;188/1;0,1065 HA;
113;LD1M / 00034750 / 3;155/2;0,0868 HA;
null;null;null;null;
114;LD1M / 00019851 / 0;BRAK;0,0823 HA;
115;LD1M / 00037309 / 8;12/2;0,2279 HA;
116;LD1M / 00037310 / 8;400;0,0755 HA;
117;LD1M / 00037680 / 2;366/3;0,0578 HA;
118;LD1M / 00037681 / 9;366/4;0,0560 HA;
119;LD1M / 00038237 / 9;126/3;0,2721 HA;
120;LD1M / 00038408 / 9;307/1;0,2397 HA;
121;LD1M / 00038578 / 1;256/1;0,0560 HA;
122;LD1M / 00039376 / 2;345346347;0,3800 HA;
123;LD1M / 00039464 / 6;164/2;0,0500 HA;
124;LD1M / 00040209 / 1;80/480/3;0,4300 HA;
125;LD1M / 00040269 / 9;144/1;0,0720 HA;
126;LD1M / 00040398 / 2;425/1;0,1052 HA;
127;LD1M / 00041043 / 6;308/2;0,1198 HA;
128;LD1M / 00041044 / 3;308/1;0,1201 HA;
129;LD1M / 00041045 / 0;310;0,2463 HA;
130;LD1M / 00042210 / 5;421;0,4225 HA;
131;LD1M / 00042277 / 2;25/525/825/925/1025/1125/1225/1325/14;3,0315 HA;
132;LD1M / 00043217 / 1;116;0,0700 HA;
133;LD1M / 00043981 / 7;267/3267/6267/7;0,5600 HA;
134;LD1M / 00044218 / 5;825/336206;5,6310 HA;
135;LD1M / 00044451 / 0;8;0,0753 HA;
136;LD1M / 00044452 / 7;10;0,0808 HA;
137;LD1M / 00044453 / 4;9;0,0753 HA;
138;LD1M / 00044454 / 1;7;0,0753 HA;
139;LD1M / 00044455 / 8;6;0,0753 HA;
140;LD1M / 00045432 / 8;8982/382/4;0,5900 HA;
141;LD1M / 00045814 / 0;171/2;0,1000 HA;
142;LD1M / 00045839 / 1;2741;0,4100 HA;
143;LD1M / 00046331 / 7;12;1,0100 HA;
144;LD1M / 00047262 / 9;31;0,2400 HA;
145;LD1M / 00047363 / 7;182;0,0702 HA;
146;LD1M / 00049340 / 4;173229;0,5300 HA;
147;LD1M / 00049624 / 9;33;0,3700 HA;
148;LD1M / 00049981 / 9;114/9251/3;708,0000 M2;
149;LD1M / 00050466 / 3;;91,3000 M2;
