null;null;
1;LD1M / 00011781 / 2;
2;LD1M / 00011782 / 9;
3;LD1M / 00011783 / 6;
4;LD1M / 00011784 / 3;
5;LD1M / 00012733 / 8;
6;LD1M / 00012776 / 1;
7;LD1M / 00012777 / 8;
8;LD1M / 00012778 / 5;
9;LD1M / 00012779 / 2;
10;LD1M / 00012780 / 2;
11;LD1M / 00013949 / 2;
12;LD1M / 00013950 / 2;
13;LD1M / 00013965 / 0;
14;LD1M / 00013967 / 4;
15;LD1M / 00014755 / 2;
16;LD1M / 00015161 / 8;
17;LD1M / 00015162 / 5;
18;LD1M / 00015741 / 8;
19;LD1M / 00015846 / 4;
20;LD1M / 00015848 / 8;
21;LD1M / 00016432 / 6;
22;LD1M / 00016952 / 7;
23;LD1M / 00017050 / 1;
24;LD1M / 00017069 / 7;
25;LD1M / 00017669 / 3;
26;LD1M / 00017807 / 3;
27;LD1M / 00017808 / 0;
28;LD1M / 00018331 / 2;
29;LD1M / 00018332 / 9;
30;LD1M / 00018333 / 6;
31;LD1M / 00018695 / 1;
32;LD1M / 00018697 / 5;
33;LD1M / 00019352 / 2;
34;LD1M / 00019353 / 9;
35;LD1M / 00019354 / 6;
36;LD1M / 00019356 / 0;
37;LD1M / 00019357 / 7;
38;LD1M / 00019358 / 4;
39;LD1M / 00019359 / 1;
40;LD1M / 00019361 / 8;
41;LD1M / 00019387 / 6;
42;LD1M / 00019388 / 3;
43;LD1M / 00019389 / 0;
44;LD1M / 00019851 / 0;
45;LD1M / 00019888 / 8;
46;LD1M / 00020099 / 0;
47;LD1M / 00020334 / 0;
48;LD1M / 00020335 / 7;
49;LD1M / 00020386 / 9;
50;LD1M / 00020612 / 3;
51;LD1M / 00020617 / 8;
52;LD1M / 00020756 / 4;
53;LD1M / 00021391 / 4;
54;LD1M / 00021741 / 3;
55;LD1M / 00021742 / 0;
56;LD1M / 00021743 / 7;
57;LD1M / 00021744 / 4;
58;LD1M / 00021745 / 1;
59;LD1M / 00021746 / 8;
60;LD1M / 00021747 / 5;
61;LD1M / 00021748 / 2;
62;LD1M / 00022032 / 7;
63;LD1M / 00023468 / 9;
64;LD1M / 00024437 / 0;
65;LD1M / 00024438 / 7;
66;LD1M / 00024439 / 4;
67;LD1M / 00024440 / 4;
68;LD1M / 00024441 / 1;
69;LD1M / 00024534 / 0;
70;LD1M / 00025042 / 1;
71;LD1M / 00025539 / 2;
72;LD1M / 00026382 / 3;
73;LD1M / 00026383 / 0;
74;LD1M / 00026385 / 4;
75;LD1M / 00026392 / 6;
76;LD1M / 00027102 / 4;
77;LD1M / 00027103 / 1;
78;LD1M / 00027104 / 8;
79;LD1M / 00027651 / 7;
80;LD1M / 00027652 / 4;
81;LD1M / 00027653 / 1;
82;LD1M / 00027877 / 7;
83;LD1M / 00027969 / 9;
84;LD1M / 00028138 / 2;
85;LD1M / 00028139 / 9;
86;LD1M / 00028809 / 7;
87;LD1M / 00028810 / 7;
88;LD1M / 00028811 / 4;
89;LD1M / 00028812 / 1;
90;LD1M / 00028956 / 2;
91;LD1M / 00028957 / 9;
92;LD1M / 00028961 / 0;
93;LD1M / 00028979 / 9;
94;LD1M / 00029208 / 1;
95;LD1M / 00029209 / 8;
96;LD1M / 00029210 / 8;
97;LD1M / 00029211 / 5;
98;LD1M / 00029212 / 2;
99;LD1M / 00029213 / 9;
100;LD1M / 00029393 / 4;
101;LD1M / 00030066 / 3;
102;LD1M / 00030067 / 0;
103;LD1M / 00030385 / 5;
104;LD1M / 00030852 / 0;
105;LD1M / 00032602 / 7;
106;LD1M / 00032946 / 0;
107;LD1M / 00033368 / 1;
108;LD1M / 00033369 / 8;
109;LD1M / 00033774 / 0;
110;LD1M / 00033778 / 8;
111;LD1M / 00033977 / 3;
112;LD1M / 00034019 / 7;
113;LD1M / 00034750 / 3;
null;null;
114;LD1M / 00019851 / 0;
115;LD1M / 00037309 / 8;
116;LD1M / 00037310 / 8;
117;LD1M / 00037680 / 2;
118;LD1M / 00037681 / 9;
119;LD1M / 00038237 / 9;
120;LD1M / 00038408 / 9;
121;LD1M / 00038578 / 1;
122;LD1M / 00039376 / 2;
123;LD1M / 00039464 / 6;
124;LD1M / 00040209 / 1;
125;LD1M / 00040269 / 9;
126;LD1M / 00040398 / 2;
127;LD1M / 00041043 / 6;
128;LD1M / 00041044 / 3;
129;LD1M / 00041045 / 0;
130;LD1M / 00042210 / 5;
131;LD1M / 00042277 / 2;
132;LD1M / 00043217 / 1;
133;LD1M / 00043981 / 7;
134;LD1M / 00044218 / 5;
135;LD1M / 00044451 / 0;
136;LD1M / 00044452 / 7;
137;LD1M / 00044453 / 4;
138;LD1M / 00044454 / 1;
139;LD1M / 00044455 / 8;
140;LD1M / 00045432 / 8;
141;LD1M / 00045814 / 0;
142;LD1M / 00045839 / 1;
143;LD1M / 00046331 / 7;
144;LD1M / 00047262 / 9;
145;LD1M / 00047363 / 7;
146;LD1M / 00049340 / 4;
147;LD1M / 00049624 / 9;
148;LD1M / 00049981 / 9;
149;LD1M / 00050466 / 3;
150;LD1M / 00050469 / 4;
151;LD1M / 00051001 / 3;
152;LD1M / 00051132 / 0;
153;LD1M / 00051384 / 1;
154;LD1M / 00053625 / 7;
155;LD1M / 00055022 / 4;
156;LD1M / 00055674 / 9;
157;LD1M / 00056373 / 6;
158;LD1M / 00056380 / 8;
159;LD1M / 00056503 / 7;
160;LD1M / 00056618 / 6;
null;null;
161;LD1M / 00011781 / 2;
null;null;
162;LD1M / 00011781 / 2;
163;LD1M / 00011783 / 6;
164;LD1M / 00011784 / 3;
165;LD1M / 00012733 / 8;
166;LD1M / 00012776 / 1;
167;LD1M / 00012777 / 8;
168;LD1M / 00012779 / 2;
169;LD1M / 00012780 / 2;
